"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value"
"273" "KhPolQ_K11n_84" 11 0 2 -2
"274" "KhPolQ_K11n_84!" 11 0 -2 2
"275" "KhPolQ_K11n_85" 11 0 0 0
"276" "KhPolQ_K11n_85!" 11 0 0 0
"277" "KhPolQ_K11n_86" 11 0 0 0
"278" "KhPolQ_K11n_86!" 11 0 0 0
"279" "KhPolQ_K11n_87" 11 0 2 -2
"280" "KhPolQ_K11n_87!" 11 0 -2 2
"281" "KhPolQ_K11n_88" 11 0 -6 6
"282" "KhPolQ_K11n_88!" 11 0 6 -6
"283" "KhPolQ_K11n_89" 11 0 4 -4
"284" "KhPolQ_K11n_89!" 11 0 -4 4
"285" "KhPolQ_K11n_90" 11 0 -4 4
"286" "KhPolQ_K11n_90!" 11 0 4 -4
"287" "KhPolQ_K11n_91" 11 0 2 -2
"288" "KhPolQ_K11n_91!" 11 0 -2 2
"289" "KhPolQ_K11n_92" 11 0 2 0
"290" "KhPolQ_K11n_92!" 11 0 -2 0
"291" "KhPolQ_K11n_93" 11 0 -6 6
"292" "KhPolQ_K11n_93!" 11 0 6 -6
"293" "KhPolQ_K11n_94" 11 0 0 0
"294" "KhPolQ_K11n_94!" 11 0 0 0
"295" "KhPolQ_K11n_95" 11 0 -4 4
"296" "KhPolQ_K11n_95!" 11 0 4 -4
"297" "KhPolQ_K11n_96" 11 0 -2 0
"298" "KhPolQ_K11n_96!" 11 0 2 0
"299" "KhPolQ_K11n_97" 11 0 0 0
"300" "KhPolQ_K11n_97!" 11 0 0 0
"301" "KhPolQ_K11n_98" 11 0 0 0
"302" "KhPolQ_K11n_98!" 11 0 0 0
"303" "KhPolQ_K11n_99" 11 0 2 -2
"304" "KhPolQ_K11n_99!" 11 0 -2 2
"305" "KhPolQ_K11n_100" 11 0 0 0
"306" "KhPolQ_K11n_100!" 11 0 0 0
"307" "KhPolQ_K11n_101" 11 0 2 -2
"308" "KhPolQ_K11n_101!" 11 0 -2 2
"309" "KhPolQ_K11n_102" 11 0 2 -2
"310" "KhPolQ_K11n_102!" 11 0 -2 2
"311" "KhPolQ_K11n_103" 11 0 4 -4
"312" "KhPolQ_K11n_103!" 11 0 -4 4
"313" "KhPolQ_K11n_104" 11 0 -6 6
"314" "KhPolQ_K11n_104!" 11 0 6 -6
"315" "KhPolQ_K11n_105" 11 0 -4 4
"316" "KhPolQ_K11n_105!" 11 0 4 -4
"317" "KhPolQ_K11n_106" 11 0 2 -2
"318" "KhPolQ_K11n_106!" 11 0 -2 2
"319" "KhPolQ_K11n_107" 11 0 -4 4
"320" "KhPolQ_K11n_107!" 11 0 4 -4
"321" "KhPolQ_K11n_108" 11 0 4 -4
"322" "KhPolQ_K11n_108!" 11 0 -4 4
"323" "KhPolQ_K11n_109" 11 0 4 -4
"324" "KhPolQ_K11n_109!" 11 0 -4 4
"325" "KhPolQ_K11n_110" 11 0 0 0
"326" "KhPolQ_K11n_110!" 11 0 0 0
"327" "KhPolQ_K11n_111" 11 0 -2 2
"328" "KhPolQ_K11n_111!" 11 0 2 -2
"329" "KhPolQ_K11n_112" 11 0 -2 2
"330" "KhPolQ_K11n_112!" 11 0 2 -2
"331" "KhPolQ_K11n_113" 11 0 2 -2
"332" "KhPolQ_K11n_113!" 11 0 -2 2
"333" "KhPolQ_K11n_114" 11 0 0 0
"334" "KhPolQ_K11n_114!" 11 0 0 0
"335" "KhPolQ_K11n_115" 11 0 0 0
"336" "KhPolQ_K11n_115!" 11 0 0 0
"337" "KhPolQ_K11n_116" 11 0 0 0
"338" "KhPolQ_K11n_116!" 11 0 0 0
"339" "KhPolQ_K11n_117" 11 0 -2 2
"340" "KhPolQ_K11n_117!" 11 0 2 -2
"341" "KhPolQ_K11n_118" 11 0 -4 4
"342" "KhPolQ_K11n_118!" 11 0 4 -4
"343" "KhPolQ_K11n_119" 11 0 0 0
"344" "KhPolQ_K11n_119!" 11 0 0 0
