"knot_id" "number_of_crossings" "is_alternating" "signature" "s-value" "norm"
"157" "KhPolQ_K11n_26" 11 0 0 0 14.5945195193264
"158" "KhPolQ_K11n_26!" 11 0 0 0 14.5945195193264
"159" "KhPolQ_K11n_27" 11 0 -6 6 6.85565460040104
"160" "KhPolQ_K11n_27!" 11 0 6 -6 6.85565460040104
"161" "KhPolQ_K11n_28" 11 0 0 0 7.14142842854285
"162" "KhPolQ_K11n_28!" 11 0 0 0 7.14142842854285
"163" "KhPolQ_K11n_29" 11 0 -2 2 18.3030052177231
"164" "KhPolQ_K11n_29!" 11 0 2 -2 18.3030052177231
"165" "KhPolQ_K11n_30" 11 0 -4 4 11.7898261225516
"166" "KhPolQ_K11n_30!" 11 0 4 -4 11.7898261225516
"167" "KhPolQ_K11n_31" 11 0 -2 4 4.58257569495584
"168" "KhPolQ_K11n_31!" 11 0 2 -4 4.58257569495584
"169" "KhPolQ_K11n_32" 11 0 0 0 25
"170" "KhPolQ_K11n_32!" 11 0 0 0 25
"171" "KhPolQ_K11n_33" 11 0 -2 2 18.4661853126194
"172" "KhPolQ_K11n_33!" 11 0 2 -2 18.4661853126194
"173" "KhPolQ_K11n_34" 11 0 0 0 5.19615242270663
"174" "KhPolQ_K11n_34!" 11 0 0 0 5.19615242270663
"175" "KhPolQ_K11n_35" 11 0 -4 4 32.2024843762092
"176" "KhPolQ_K11n_35!" 11 0 4 -4 32.2024843762092
"177" "KhPolQ_K11n_36" 11 0 -2 2 24.1453929352993
"178" "KhPolQ_K11n_36!" 11 0 2 -2 24.1453929352993
"179" "KhPolQ_K11n_37" 11 0 0 0 9.1104335791443
"180" "KhPolQ_K11n_37!" 11 0 0 0 9.1104335791443
"181" "KhPolQ_K11n_38" 11 0 -2 0 2.23606797749979
"182" "KhPolQ_K11n_38!" 11 0 2 0 2.23606797749979
"183" "KhPolQ_K11n_39" 11 0 0 0 10.5356537528527
"184" "KhPolQ_K11n_39!" 11 0 0 0 10.5356537528527
"185" "KhPolQ_K11n_40" 11 0 -2 2 28.5482048472404
"186" "KhPolQ_K11n_40!" 11 0 2 -2 28.5482048472404
"187" "KhPolQ_K11n_41" 11 0 -4 4 19
"188" "KhPolQ_K11n_41!" 11 0 4 -4 19
"189" "KhPolQ_K11n_42" 11 0 0 0 5.19615242270663
"190" "KhPolQ_K11n_42!" 11 0 0 0 5.19615242270663
"191" "KhPolQ_K11n_43" 11 0 -4 4 32.2024843762092
"192" "KhPolQ_K11n_43!" 11 0 4 -4 32.2024843762092
"193" "KhPolQ_K11n_44" 11 0 -2 2 24.1453929352993
"194" "KhPolQ_K11n_44!" 11 0 2 -2 24.1453929352993
"195" "KhPolQ_K11n_45" 11 0 0 0 10.5356537528527
"196" "KhPolQ_K11n_45!" 11 0 0 0 10.5356537528527
"197" "KhPolQ_K11n_46" 11 0 -2 2 28.5482048472404
"198" "KhPolQ_K11n_46!" 11 0 2 -2 28.5482048472404
